Address;RegName;Clk;Rst;Port ;NonReg; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;Enum_Name;Enum_Value;Min_Value;Max_Value;RegName_Chg_0;RepeatName;RepeatNum;GroupName;CSV_Version
;;;;;;;reg_scl_rstart_setup_time;[8:0];9'b1000;R/W;;;;"This register is used to configure the time between the positive
edge of SCL and the negative edge of SDA for a RSTART condition, in I2C module clock cycles. ";;;;;I2C_SCL_RSTART_SETUP_TIME;;;;
0x0048;I2C_SCL_STOP_HOLD_REG;pclk;reset_n;;;;;;;;;;;"Configures the delay after the SCL clock
edge for a STOP condition";;;;;;;;Timing registers;
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_stop_hold_time;[8:0];9'b1000;R/W;;;;"This register is used to configure the delay after the STOP condition,
in I2C module clock cycles. ";;;;;I2C_SCL_STOP_HOLD_TIME;;;;
0x004C;I2C_SCL_STOP_SETUP_REG;pclk;reset_n;;;;;;;;;;;"Configures the delay between the SDA and
SCL positive edge for a STOP condition";;;;;;;;Timing registers;
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_stop_setup_time;[8:0];9'b1000;R/W;;;;"This register is used to configure the time between the positive edge
of SCL and the positive edge of SDA, in I2C module clock cycles. ";;;;;I2C_SCL_STOP_SETUP_TIME;;;;
0x0050;I2C_FILTER_CFG_REG;pclk;reset_n;;;;;;;;;;;SCL and SDA filter configuration register;;;;;;;;Configuration registers;
;;;;;;;;[31:10];22'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_sda_filter_en;[9];1'b1;R/W;;;;This is the filter enable bit for SDA. ;;;;;I2C_SDA_FILTER_EN;;;;
;;;;;;;reg_scl_filter_en;[8];1'b1;R/W;;;;This is the filter enable bit for SCL. ;;;;;I2C_SCL_FILTER_EN;;;;
;;;;;;;reg_sda_filter_thres;[7:4];4'b0;R/W;;;;"When a pulse on the SDA input has smaller width than this register value
in I2C module clock cycles, the I2C controller will ignore that pulse. ";;;;;I2C_SDA_FILTER_THRES;;;;
;;;;;;;reg_scl_filter_thres;[3:0];4'b0;R/W;;;;"When a pulse on the SCL input has smaller width than this register value
in I2C module clock cycles, the I2C controller will ignore that pulse. ";;;;;I2C_SCL_FILTER_THRES;;;;
0x0054;I2C_CLK_CONF_REG;pclk;reset_n;;;;;;;;;;;I2C CLK configuration register;;;;;;;;Configuration registers;
;;;;;;;;[31:22];10'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_sclk_active;[21];1'b1;R/W;;;;The clock switch for I2C module.;;;;;I2C_SCLK_ACTIVE;;;;
;;;;;;;reg_sclk_sel;[20];1'b0;R/W;;;;"The clock selection for I2C module: 0-XTAL;1-CLK_8MHz.";;;;;I2C_SCLK_SEL;;;;
;;;;;;;reg_sclk_div_b;[19:14];6'b0;R/W;;;;the denominator of the fractional part of the fractional divisor for I2C module.;;;;;I2C_SCLK_DIV_B;;;;
;;;;;;;reg_sclk_div_a;[13:8];6'b0;R/W;;;;the numerator of the fractional part of the fractional divisor for I2C module.;;;;;I2C_SCLK_DIV_A;;;;
;;;;;;;reg_sclk_div_num;[7:0];8'b0;R/W;;;;the integral part of the fractional divisor for I2C module.;;;;;I2C_SCLK_DIV_NUM;;;;
0x0058;I2C_COMD0_REG;pclk;reset_n;;;;;;;;;;;I2C command register 0;;;;;;;;Command registers;
;;;;Not;;;reg_command0_done;[31];1'b0;R/W/SS;cmd0_done/1'b1;;;"When command 0 is done in I2C Master mode, this bit changes to high
level. ";;;;;I2C_COMMAND0_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command0;[13:0];14'b0;R/W;;;;"This is the content of command 0. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND0;;;;
0x005C;I2C_COMD1_REG;pclk;reset_n;;;;;;;;;;;I2C command register 1;;;;;;;;Command registers;
;;;;Not;;;reg_command1_done;[31];1'b0;R/W/SS;cmd1_done/1'b1;;;"When command 1 is done in I2C Master mode, this bit changes to high
level. ";;;;;I2C_COMMAND1_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command1;[13:0];14'b0;R/W;;;;"This is the content of command 1. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND1;;;;
0x0060;I2C_COMD2_REG;pclk;reset_n;;;;;;;;;;;I2C command register 2;;;;;;;;Command registers;
;;;;Not;;;reg_command2_done;[31];1'b0;R/W/SS;cmd2_done/1'b1;;;"When command 2 is done in I2C Master mode, this bit changes to high
Level.";;;;;I2C_COMMAND2_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command2;[13:0];14'b0;R/W;;;;"This is the content of command 2. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND2;;;;
0x0064;I2C_COMD3_REG;pclk;reset_n;;;;;;;;;;;I2C command register 3;;;;;;;;Command registers;
;;;;Not;;;reg_command3_done;[31];1'b0;R/W/SS;cmd3_done/1'b1;;;"When command 3 is done in I2C Master mode, this bit changes to high
level. ";;;;;I2C_COMMAND3_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command3;[13:0];14'b0;R/W;;;;"This is the content of command 3. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND3;;;;
0x0068;I2C_COMD4_REG;pclk;reset_n;;;;;;;;;;;I2C command register 4;;;;;;;;Command registers;
;;;;Not;;;reg_command4_done;[31];1'b0;R/W/SS;cmd4_done/1'b1;;;"When command 4 is done in I2C Master mode, this bit changes to high
level. ";;;;;I2C_COMMAND4_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command4;[13:0];14'b0;R/W;;;;"This is the content of command 4. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND4;;;;
0x006C;I2C_COMD5_REG;pclk;reset_n;;;;;;;;;;;I2C command register 5;;;;;;;;Command registers;
;;;;Not;;;reg_command5_done;[31];1'b0;R/W/SS;cmd5_done/1'b1;;;When command 5 is done in I2C Master mode, this bit changes to high level. ;;;;;I2C_COMMAND5_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command5;[13:0];14'b0;R/W;;;;"This is the content of command 5. It consists of three parts:
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND5;;;;
0x0070;I2C_COMD6_REG;pclk;reset_n;;;;;;;;;;;I2C command register 6;;;;;;;;Command registers;
;;;;Not;;;reg_command6_done;[31];1'b0;R/W/SS;cmd6_done/1'b1;;;When command 6 is done in I2C Master mode, this bit changes to high level. ;;;;;I2C_COMMAND6_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command6;[13:0];14'b0;R/W;;;;"This is the content of command 6. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND6;;;;
0x0074;I2C_COMD7_REG;pclk;reset_n;;;;;;;;;;;I2C command register 7;;;;;;;;Command registers;
;;;;Not;;;reg_command7_done;[31];1'b0;R/W/SS;cmd7_done/1'b1;;;When command 7 is done in I2C Master mode, this bit changes to high level.;;;;;I2C_COMMAND7_DONE;;;;
;;;;;;;;[30:14];17'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_command7;[13:0];14'b0;R/W;;;;"This is the content of command 7. It consists of three parts: 
op_code is the command, 0: RSTART; 1: WRITE; 2: READ; 3: STOP; 4: END.
Byte_num represents the number of bytes that need to be sent or received.
ack_check_en, ack_exp and ack are used to control the ACK bit. See I2C cmd structure for more
Information.";;;;;I2C_COMMAND7;;;;
0x0078;I2C_SCL_ST_TIME_OUT_REG;pclk;reset_n;;;;;;;;;;;SCL status timeout register;;;;;;;;Timing registers;
;;;;;;;;[31:5];27'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_st_to_reg;[4:0];5'h10;R/W;;;;The threshold value of SCL_FSM state unchanged period. It should be more than 23.;;;;;I2C_SCL_ST_TO_I2C;;;;
0x007c;I2C_SCL_MAIN_ST_TIME_OUT_REG;pclk;reset_n;;;;;;;;;;;SCL main status timeout register;;;;;;;;Timing registers;
;;;;;;;;[31:5];27'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_main_st_to_reg;[4:0];5'h10;R/W;;;;The threshold value of SCL_MAIN_FSM state unchanged period.nIt should be o more than 23.;;;;;I2C_SCL_MAIN_ST_TO_I2C;;;;
0x0080;I2C_SCL_SP_CONF_REG;pclk;reset_n;;;;;;;;;;;Power configuration register ;;;;;;;;Configuration registers;
;;;;;;;;[31:8];24'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_sda_pd_en;[7];1'b0;R/W;;;;The power down enable bit for the I2C output SDA line. 1: Power down. 0: Not power down. Set reg_sda_force_out and reg_sda_pd_en to 1 to stretch SDA low.;;;;;I2C_SDA_PD_EN;;;;
;;;;;;;reg_scl_pd_en;[6];1'b0;R/W;;;;The power down enable bit for the I2C output SCL line. 1: Power down. 0: Not power down. Set reg_scl_force_out and reg_scl_pd_en to 1 to stretch SCL low.;;;;;I2C_SCL_PD_EN;;;;
;;;;;;;reg_scl_rst_slv_num;[5:1];5'b0;R/W;;;;Configure the pulses of SCL generated in I2C master mode. Valid when reg_scl_rst_slv_en is 1.;;;;;I2C_SCL_RST_SLV_NUM;;;;
;;;;;;;reg_scl_rst_slv_en;[0];1'b0;R/W;scl_rst_slv_clr/1'b0;;;When I2C master is IDLE, set this bit to send out SCL pulses. The number of pulses equals to reg_scl_rst_slv_num[4:0].;;;;;I2C_SCL_RST_SLV_EN;;;;
0x0084;I2C_SCL_STRETCH_CONF_REG;pclk;reset_n;;;;;;;;;;;Set SCL stretch of I2C slave;;;;;;;;Configuration registers;
;;;;;;;;[31:12];20'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_slave_scl_stretch_clr;[11];1'b0;WT;;;;Set this bit to clear the I2C slave SCL stretch function.;;;;;I2C_SLAVE_SCL_STRETCH_CLR;;;;
;;;;;;;reg_slave_scl_stretch_en;[10];1'b0;R/W;;;;The enable bit for slave SCL stretch function. 1: Enable. 0: Disable. The SCL output line will be stretched low when reg_slave_scl_stretch_en is 1 and stretch event happens. The stretch cause can be seen in reg_stretch_cause.;;;;;I2C_SLAVE_SCL_STRETCH_EN;;;;
;;;;;;;reg_stretch_protect_num;[9:0];10'b0;R/W;;;;Configure the period of I2C slave stretching SCL line.;;;;;I2C_STRETCH_PROTECT_NUM;;;;
0x00F8;I2C_DATE_REG;pclk;reset_n;;;;;;;;;;;Version register;;;;;;;;Version register;
;;;;Not;;;reg_date;[31:0];32'h20030501;R/W;;;;This is the the version register.;;;;;I2C_DATE;;;;
0x0100;I2C_TXFIFO_START_ADDR_REG;pclk;reset_n;Not;;N/A;;;;;;;;I2C TXFIFO base address register;;;;;;;;Address register;
;;;;Not;;N/A;reg_txfifo_start_addr;[31:0];32'b0;RO;;;;This is the I2C TX FIFO first address.;;;;;I2C_TXFIFO_START_ADDR;;;;
0x0180;I2C_RXFIFO_START_ADDR_REG;pclk;reset_n;Not;;N/A;;;;;;;;I2C RXFIFO base address register;;;;;;;;Address register;
;;;;Not;;N/A;reg_rxfifo_start_addr;[31:0];32'b0;RO;;;;This is the I2C RX FIFO first address.;;;;;I2C_RXFIFO_START_ADDR;;;;
